Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c_shared/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter  57500 |loss   0.14 |n_ep 10082 |ep_len   66.2 |ep_rew   0.89 |raw_ep_rew   8.68 |env_step 460000 |time 32:47 rem 537:28
iter  58000 |loss   0.18 |n_ep 10142 |ep_len   58.7 |ep_rew   0.68 |raw_ep_rew   9.12 |env_step 464000 |time 33:04 rem 537:07
iter  58500 |loss   0.00 |n_ep 10204 |ep_len   67.0 |ep_rew   0.95 |raw_ep_rew   9.22 |env_step 468000 |time 33:21 rem 536:46
iter  59000 |loss  -0.02 |n_ep 10268 |ep_len   54.2 |ep_rew   0.51 |raw_ep_rew  10.23 |env_step 472000 |time 33:38 rem 536:27
iter  59500 |loss   0.06 |n_ep 10320 |ep_len   87.7 |ep_rew   1.36 |raw_ep_rew  10.05 |env_step 476000 |time 33:54 rem 536:05
iter  60000 |loss   0.05 |n_ep 10375 |ep_len   62.6 |ep_rew   0.77 |raw_ep_rew   9.62 |env_step 480000 |time 34:11 rem 535:37
iter  60500 |loss   0.02 |n_ep 10433 |ep_len   68.1 |ep_rew   0.91 |raw_ep_rew  10.02 |env_step 484000 |time 34:27 rem 535:11
iter  61000 |loss   0.03 |n_ep 10488 |ep_len   69.9 |ep_rew   0.92 |raw_ep_rew  10.69 |env_step 488000 |time 34:44 rem 534:42
iter  61500 |loss  -0.02 |n_ep 10548 |ep_len   59.3 |ep_rew   0.71 |raw_ep_rew   9.65 |env_step 492000 |time 35:00 rem 534:17
iter  62000 |loss  -0.12 |n_ep 10604 |ep_len   73.6 |ep_rew   1.22 |raw_ep_rew  10.00 |env_step 496000 |time 35:17 rem 534:02
iter  62500 |loss  -0.15 |n_ep 10658 |ep_len   67.6 |ep_rew   0.91 |raw_ep_rew  10.63 |env_step 500000 |time 35:35 rem 533:56
iter  63000 |loss   0.04 |n_ep 10713 |ep_len   69.0 |ep_rew   0.92 |raw_ep_rew  10.58 |env_step 504000 |time 35:52 rem 533:29
iter  63500 |loss  -0.03 |n_ep 10771 |ep_len   63.9 |ep_rew   0.74 |raw_ep_rew  10.29 |env_step 508000 |time 36:08 rem 533:04
iter  64000 |loss  -0.11 |n_ep 10822 |ep_len   67.2 |ep_rew   0.98 |raw_ep_rew  11.13 |env_step 512000 |time 36:25 rem 532:40
iter  64500 |loss  -0.11 |n_ep 10872 |ep_len   80.4 |ep_rew   1.14 |raw_ep_rew  11.14 |env_step 516000 |time 36:41 rem 532:15
iter  65000 |loss   0.03 |n_ep 10928 |ep_len   74.1 |ep_rew   1.12 |raw_ep_rew   9.53 |env_step 520000 |time 36:58 rem 531:53
iter  65500 |loss   0.08 |n_ep 10982 |ep_len   73.2 |ep_rew   1.07 |raw_ep_rew  10.87 |env_step 524000 |time 37:14 rem 531:23
iter  66000 |loss   0.13 |n_ep 11030 |ep_len   78.0 |ep_rew   1.33 |raw_ep_rew  12.56 |env_step 528000 |time 37:30 rem 530:52
iter  66500 |loss   0.12 |n_ep 11075 |ep_len   82.7 |ep_rew   1.33 |raw_ep_rew  12.93 |env_step 532000 |time 37:46 rem 530:21
iter  67000 |loss  -0.17 |n_ep 11126 |ep_len   80.4 |ep_rew   1.24 |raw_ep_rew  13.12 |env_step 536000 |time 38:03 rem 530:01
iter  67500 |loss  -0.03 |n_ep 11174 |ep_len   77.6 |ep_rew   1.17 |raw_ep_rew  12.75 |env_step 540000 |time 38:20 rem 529:41
iter  68000 |loss  -0.01 |n_ep 11223 |ep_len   83.5 |ep_rew   1.21 |raw_ep_rew  13.37 |env_step 544000 |time 38:38 rem 529:30
iter  68500 |loss   0.13 |n_ep 11274 |ep_len   87.0 |ep_rew   1.32 |raw_ep_rew  12.04 |env_step 548000 |time 38:54 rem 529:11
iter  69000 |loss   0.18 |n_ep 11322 |ep_len   79.9 |ep_rew   1.31 |raw_ep_rew  12.56 |env_step 552000 |time 39:11 rem 528:49
