Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0001, niter=2000000, nproc=2, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_pen/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter  24000 |loss   0.00 |n_ep  1508 |ep_len   29.7 |ep_rew  -0.22 |raw_ep_rew   0.98 |env_step  48000 |time 03:55 rem 322:51
iter  24500 |loss   0.00 |n_ep  1537 |ep_len   32.1 |ep_rew  -0.24 |raw_ep_rew   1.18 |env_step  49000 |time 04:00 rem 322:52
iter  25000 |loss   0.01 |n_ep  1564 |ep_len   31.3 |ep_rew  -0.21 |raw_ep_rew   1.00 |env_step  50000 |time 04:05 rem 323:07
iter  25500 |loss   0.00 |n_ep  1598 |ep_len   27.8 |ep_rew  -0.26 |raw_ep_rew   1.26 |env_step  51000 |time 04:10 rem 323:18
iter  26000 |loss   0.00 |n_ep  1630 |ep_len   29.7 |ep_rew  -0.26 |raw_ep_rew   1.14 |env_step  52000 |time 04:15 rem 323:27
iter  26500 |loss   0.00 |n_ep  1658 |ep_len   39.3 |ep_rew  -0.05 |raw_ep_rew   1.28 |env_step  53000 |time 04:20 rem 323:32
iter  27000 |loss   0.01 |n_ep  1696 |ep_len   24.5 |ep_rew  -0.35 |raw_ep_rew   0.67 |env_step  54000 |time 04:25 rem 323:42
iter  27500 |loss   0.00 |n_ep  1728 |ep_len   29.9 |ep_rew  -0.24 |raw_ep_rew   0.90 |env_step  55000 |time 04:30 rem 323:40
iter  28000 |loss   0.00 |n_ep  1757 |ep_len   30.9 |ep_rew  -0.21 |raw_ep_rew   1.15 |env_step  56000 |time 04:35 rem 323:40
iter  28500 |loss   0.00 |n_ep  1797 |ep_len   25.9 |ep_rew  -0.30 |raw_ep_rew   0.54 |env_step  57000 |time 04:40 rem 323:48
iter  29000 |loss   0.00 |n_ep  1825 |ep_len   33.6 |ep_rew  -0.16 |raw_ep_rew   0.93 |env_step  58000 |time 04:45 rem 323:46
iter  29500 |loss   0.00 |n_ep  1857 |ep_len   26.9 |ep_rew  -0.35 |raw_ep_rew   1.08 |env_step  59000 |time 04:50 rem 323:45
iter  30000 |loss   0.00 |n_ep  1890 |ep_len   30.9 |ep_rew  -0.13 |raw_ep_rew   1.00 |env_step  60000 |time 04:55 rem 323:48
iter  30500 |loss   0.01 |n_ep  1923 |ep_len   26.6 |ep_rew  -0.30 |raw_ep_rew   0.96 |env_step  61000 |time 05:00 rem 323:47
iter  31000 |loss   0.00 |n_ep  1959 |ep_len   26.5 |ep_rew  -0.34 |raw_ep_rew   0.71 |env_step  62000 |time 05:05 rem 323:49
iter  31500 |loss   0.00 |n_ep  1988 |ep_len   34.6 |ep_rew  -0.13 |raw_ep_rew   0.94 |env_step  63000 |time 05:10 rem 323:43
iter  32000 |loss   0.00 |n_ep  2019 |ep_len   34.1 |ep_rew  -0.10 |raw_ep_rew   1.10 |env_step  64000 |time 05:15 rem 323:42
iter  32500 |loss   0.00 |n_ep  2050 |ep_len   27.9 |ep_rew  -0.28 |raw_ep_rew   1.12 |env_step  65000 |time 05:20 rem 323:39
iter  33000 |loss   0.00 |n_ep  2084 |ep_len   29.6 |ep_rew  -0.20 |raw_ep_rew   0.98 |env_step  66000 |time 05:25 rem 323:39
iter  33500 |loss   0.00 |n_ep  2120 |ep_len   27.6 |ep_rew  -0.27 |raw_ep_rew   0.70 |env_step  67000 |time 05:30 rem 323:40
